track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1EzrEOXmMH3G43AXT1y7pA,0.686,0.457,11,-8.322,1,0.0468,0.595,0,0.105,0.718,150.953,242187,4
0IktbUcnAGrvD03AWnz3Q8,0.623,0.417,0,-8.699,1,0.0354,0.296,0,0.135,0.721,130.032,191360,4
53QF56cjZA9RTuuMZDrSA6,0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,240166,3
1s8tP3jP4GZcyHDsjvw218,0.573,0.454,3,-10.286,1,0.0258,0.479,1.36e-5,0.0974,0.515,140.187,216387,4
7BXW1QCg56yzEBV8pW8pah,0.643,0.638,1,-4.947,0,0.0407,0.204,0,0.0707,0.6,82.001,226107,4
4XI5GjQ6zcJXsDnuyOGGEa,0.71,0.615,0,-8.23,1,0.133,0.0384,0,0.283,0.746,90.263,239698,4
1qvToOLpOdxoxmEyebs0Wi,0.579,0.363,7,-14.185,1,0.0308,0.306,0.00692,0.111,0.0754,97.955,256973,4
4tK4ARuilOrBzwVQK73E0Y,0.589,0.867,10,-4.523,1,0.0385,0.04,0,0.306,0.795,94.519,256441,4
6uvF15oBfR7kQBzF27vCtS,0.716,0.614,6,-9.3,1,0.0462,0.065,2.99e-5,0.0914,0.679,93.012,281547,4
3dglCYsVMjPbDlU2CC9Vq7,0.392,0.423,7,-7.813,1,0.0348,0.27,0,0.117,0.288,113.537,245187,4
4E6cwWJWZw2zWf7VFbH7wf,0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,258827,4
6Uy6K3KdmUdAfelUp0SeXn,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-5,0.0425,0.758,185.063,220573,4
4oa14QBfWRDfJy2agySy0L,0.27,0.275,0,-10.357,1,0.0356,0.834,0,0.146,0.231,168.964,232760,4
2D4BSm5Z8Hq5zYbSgJwEOh,0.397,0.303,5,-7.508,1,0.0435,0.381,0,0.101,0.172,81.05,250267,4
7jJH8F3PHlNvxfqEAAfFDl,0.731,0.572,6,-7.889,0,0.0445,0.105,1.2e-4,0.133,0.947,154.038,218573,4
3VA8T3rNy5V24AXxNK5u9E,0.676,0.762,1,-4.172,1,0.0351,0.461,0,0.0574,0.81,119.003,207493,4
55fyE9Q754QhXpmcLtmmam,0.423,0.253,10,-13.259,1,0.0368,0.825,0,0.117,0.161,129.656,269210,3
3sC62j1Cjeea5tAhcyGcs8,0.626,0.484,2,-7.94,1,0.0264,0.484,5.97e-5,0.0992,0.367,79.962,253395,4
2qBXnlzhVSBQ6VRS3KxrMg,0.246,0.258,5,-11.691,1,0.0307,0.912,2.07e-5,0.105,0.295,94.946,250973,3
2xNCvvLwHconIojhe57JEv,0.421,0.393,10,-9.938,1,0.0447,0.541,2.9e-6,0.0938,0.232,161.542,297747,3
1KKTKUFmFLZmEhbUyj47jN,0.585,0.649,5,-7.045,1,0.0357,0.301,2.53e-4,0.0901,0.437,102.004,207067,4
62M9yafZsSRzlsphzeJPGo,0.526,0.803,11,-3.989,1,0.127,0.135,0,0.119,0.564,157.887,208205,4
1kiylxwnw8R8rJoCDtubWM,0.548,0.367,5,-9.271,1,0.0309,0.668,0,0.144,0.416,147.946,200120,4
6LFM1lnBcCIMDkU8oPYgmh,0.586,0.659,7,-6.072,1,0.0392,0.544,0,0.1,0.631,141.37,240267,4
7iUNwLdjPrcteXLNq1fBlZ,0.536,0.862,8,-4.12,1,0.0523,0.005,3.35e-4,0.058,0.528,127.978,255173,4
5OpjJ9qy54D3PzQJ1s4Q9X,0.495,0.71,0,-3.941,1,0.0288,0.471,0,0.0703,0.319,90.024,243800,4
4zgO1SgXOeFmr6Hno9DLs4,0.593,0.816,7,-6.461,1,0.0421,0.0048,0.00121,0.0939,0.378,115.029,275560,4
7aag0fFgE9K1Gj8lJwQaGI,0.575,0.765,9,-6.608,1,0.0345,0.00703,0,0.331,0.407,98.037,205773,4
0pohtuADv9aAqQ7KVDxa56,0.316,0.482,6,-7.923,1,0.0476,0.605,4.96e-5,0.142,0.287,78.353,435240,3
598Dy3TgV1SQulwjPOM0Z2,0.511,0.8,10,-4.759,1,0.0622,0.227,3.45e-4,0.112,0.531,114.042,294200,4
06JmNnH3iXKENNRKifqu0v,0.637,0.129,2,-11.89,1,0.0405,0.903,0,0.107,0.368,139.742,214240,4
07m8PuXxxv5J4qPEDq6ZkK,0.555,0.934,9,-5.04,1,0.113,0.00268,0,0.122,0.422,144.874,243933,4
0roPf0bwAsBDZv1bR15m15,0.655,0.587,1,-8.736,1,0.045,0.26,6.07e-6,0.0953,0.521,91.494,219067,4
0KF5nzdiqZlxVK68MPITst,0.555,0.452,0,-9.636,1,0.0554,0.694,0,0.0595,0.321,179.921,256933,4
7Afr3PKTtlFGHGiXYgnv6P,0.624,0.334,3,-11.89,1,0.0391,0.321,3.27e-6,0.113,0.397,157.92,138507,4
7wF4asYZw8cAHEljYd2Wid,0.592,0.304,8,-9.833,1,0.0298,0.564,0,0.107,0.307,114.72,254027,3
4MZQ3lHA1TYO6yyedtmBYg,0.469,0.403,8,-10.047,1,0.0483,0.132,4.71e-5,0.116,0.208,147.429,224744,4
1Yqovy9hlOeV91IY3Bhcf2,0.565,0.857,2,-4.519,1,0.0384,0.0146,0,0.0606,0.632,126.072,197387,4
4m1lB7qJ78VPYsQy7RoBcU,0.445,0.771,0,-4.607,1,0.0501,0.133,0,0.273,0.448,147.913,226827,4
6XDEKwqZGTxpPkMgP2Y4ZU,0.423,0.432,2,-10.444,1,0.0327,0.254,9.47e-4,0.115,0.305,90.631,184787,4
0rFOs9paloAvEtzwDX1Kmc,0.697,0.474,9,-6.663,1,0.0351,0.603,0,0.11,0.249,127.904,196280,4
5YTtTbqxUzJHD3CpbNHerP,0.629,0.793,9,-5.942,1,0.0346,0.00952,1.15e-6,0.218,0.588,95.981,231213,4
6buXDkw3Gv4fQC1OZKUhnR,0.603,0.376,1,-9.77,1,0.0288,0.807,0,0.108,0.538,139.995,224573,4
42loEE51UDcecom9K8K4ei,0.655,0.877,9,-5.656,1,0.0329,0.22,0,0.0785,0.958,144.877,173360,4
5OGkKx8jP0A5KSULEc6XYZ,0.693,0.594,1,-6.408,1,0.0325,0.13,0,0.115,0.192,123.932,244107,4
1le5KVGTF1xWf2aUj7ruLy,0.644,0.834,4,-6.473,1,0.0275,0.156,0,0.112,0.593,117.043,215547,4
69J73rzjNvo8b9ZwWlL4FS,0.646,0.728,0,-6.123,1,0.0327,0.08,0,0.19,0.385,107.976,248360,4
2rJWnAqSuLMls0KOv416Io,0.506,0.639,3,-5.222,1,0.0285,0.171,0,0.315,0.385,144.073,233200,4
5RMjO7UAJUybWAwZ4t2wKz,0.647,0.0985,9,-12.071,1,0.0619,0.908,0,0.098,0.321,115.089,216720,4
1jyddn36UN4tVsJGtaJfem,0.578,0.727,10,-4.872,1,0.0332,0.0304,1.99e-5,0.172,0.885,170.593,231840,4
4PuUa8e5s7P3Zv1IdCGIsa,0.522,0.256,10,-11.216,1,0.0258,0.86,8.06e-4,0.142,0.13,76.349,296387,4
2fSIF8CJhoc9CJhF9vJDXp,0.588,0.142,7,-15.196,1,0.0329,0.863,1.62e-4,0.0953,0.288,119.656,250867,4
1U1GtaJeYwGsPgqV9Me5bb,0.504,0.321,7,-13.807,1,0.0316,0.149,1.07e-4,0.147,0.577,170.134,306200,3
3YllcvA3PW1DUwjckCVjIw,0.659,0.236,9,-12.56,1,0.0304,0.84,6.32e-5,0.206,0.216,78.088,251933,4
56AecW9Anb0CY6HpgWvcg9,0.614,0.283,0,-8.008,1,0.027,0.472,0,0.114,0.331,107.673,280227,3
1xYMyM7MxFi4OuzDA2op9Q,0.55,0.334,10,-10.73,1,0.0288,0.517,1.69e-4,0.101,0.143,72.235,307535,4
5aGkIyzLVYGuLIHkxpNAFF,0.321,0.425,7,-12.73,1,0.0455,0.342,2.62e-4,0.23,0.493,173.24,241547,3
1M1xjg2N1i5EKosEPtx2T7,0.717,0.706,2,-8.612,1,0.0278,0.116,1.51e-5,0.184,0.967,130.543,214653,4
7fMYBrlKl9mkcMTUGT4j6l,0.472,0.55,6,-8.517,1,0.0281,0.462,5.61e-4,0.172,0.395,148.097,272667,4
6j7hih15xG2cdYwIJnQXsq,0.63,0.894,10,-4.592,1,0.0544,0.255,0,0.181,0.364,142.051,218520,4
4vl2zwXsTmAxgu9iY0g6UK,0.423,0.862,0,-5.13,0,0.0695,0.00791,0,0.133,0.462,154.746,217760,4
0MhCb3iakymVqQIOeYPSUf,0.486,0.74,10,-4.307,1,0.0438,0.0217,0,0.326,0.488,139.923,211387,4
1V2K6ftpUhL9sLEoceuzoY,0.615,0.612,4,-6.413,1,0.0522,0.0131,0,0.0821,0.59,125.882,218707,4
4bgCdwNpbU3sCJ3mupBW8S,0.545,0.582,8,-7.377,1,0.0368,0.142,0,0.144,0.536,147.082,244333,4
4dygMGhvfENVhwRXmAscbl,0.281,0.779,7,-5.104,1,0.0514,0.0437,0,0.37,0.344,167.172,239173,4
2bN0VoXCagktb6yAi9942I,0.547,0.932,7,-5.237,1,0.0968,0.00229,0,0.335,0.513,134.981,226200,4
3zcmWxxUA7Em7X3IBqZGUo,0.439,0.906,3,-4.8,1,0.0439,0.0193,0,0.373,0.687,161.905,206000,4
4DJZTapBDzc9UOpB0uv1tG,0.549,0.582,7,-6.53,0,0.0364,0.00727,0,0.339,0.456,180.984,228293,4
4stNldZRtgwvHvb34INX5y,0.525,0.462,6,-8.898,1,0.0263,0.0531,4.37e-5,0.08,0.201,105.974,227485,4
1fEGtTZjrjJW8eUeewnNJR,0.369,0.403,3,-7.996,1,0.0259,0.827,0.0541,0.106,0.177,154.899,241917,3
5kOBEsqVNwi4udPRbagNIV,0.628,0.248,1,-13.304,1,0.032,0.814,0.0602,0.111,0.646,125.298,170217,4
1MxHIIzcTeFnaNsDGY3pfj,0.512,0.501,5,-9.971,1,0.0325,0.609,6.25e-5,0.0973,0.726,79.989,231755,4
6UIxGIqWlO5wsddY44AV1R,0.386,0.205,4,-16.699,1,0.0366,0.653,0.0448,0.106,0.623,172.373,152613,4
6HbxpoChDH9ThadFOSAnma,0.662,0.322,1,-15.115,1,0.0304,0.855,0.0019,0.144,0.425,115.771,195200,4
7dP4k5nDDwI1qMDoz5m0f6,0.634,0.419,0,-10.386,1,0.028,0.499,0.00438,0.124,0.562,118.838,212487,4
6dDxgfvM8pJm7AzmLZB1nN,0.611,0.275,6,-10.644,1,0.028,0.808,0.911,0.403,0.552,94.116,251280,4
6iw32k0OUKHildYsQTRnVB,0.245,0.242,4,-12.963,1,0.0318,0.965,0.00833,0.271,0.138,135.714,267120,3
2xa9PoO42d7VjT0KqG5d3I,0.47,0.237,2,-15.593,1,0.0348,0.837,0.464,0.115,0.358,81.268,207773,4
0HL3y3bsKSARBSP0qaImwb,0.639,0.666,0,-7.775,1,0.0636,0.271,0,0.111,0.372,98.384,213733,4
44IeABaLLsnFVb7rjzNTzS,0.544,0.5,11,-8.253,1,0.026,0.0325,3.78e-6,0.109,0.177,93.621,238493,4
28m84EzeAOlqrJQ3GHzs8C,0.563,0.328,0,-6.873,1,0.061,0.948,1.28e-6,0.114,0.265,75.85,199090,3
0pegFWSUOTiG0sLVEfxtvA,0.564,0.209,3,-8.922,1,0.0317,0.724,3.99e-5,0.107,0.402,109.024,214667,4
0hoRmVUp5cZ1empu0nSHU8,0.577,0.53,7,-6.749,1,0.0312,0.544,3.29e-6,0.103,0.22,85.471,241147,4
18k8IlS52uxRWObykDUZFG,0.236,0.578,7,-5.477,1,0.0404,0.327,1.5e-4,0.206,0.227,75.367,279373,4
25fcj6d2W1l8DQL11Czdzb,0.354,0.206,0,-11.799,1,0.0365,0.779,2.1e-4,0.0959,0.202,139.056,259559,4
6jeIbpsYPF0CTId7QrLLer,0.563,0.463,8,-7.366,1,0.0551,0.804,2.27e-6,0.092,0.394,98.039,196973,4
5vjLSffimiIP26QG5WcN2K,0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,198853,4
4LbWtBkN82ZRhz9jqzgrb3,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-5,0.121,0.387,120.004,188133,4
5xQTEPjGsLuvwnnvyK3fAA,0.574,0.344,4,-8.995,1,0.0345,0.421,0,0.0804,0.0987,147.924,199459,3
4bXoVtbp6fN8FaSQvGQB41,0.55,0.499,4,-9.502,1,0.0338,0.472,2.26e-6,0.0798,0.144,86.966,246613,1
6nc0HL8py0u3zktAlLpSZK,0.468,0.264,0,-11.171,1,0.0621,0.918,2.51e-4,0.237,0.193,140.335,181787,4
2Jhx81CSHw8xWwBqRM2mZR,0.702,0.259,2,-9.73,1,0.0403,0.878,5.34e-6,0.108,0.246,120.102,200347,4
1SAGcaITupHg8gKvc8x2jY,0.587,0.216,0,-9.108,1,0.0324,0.563,0,0.108,0.202,118.892,275613,3
7AWKPOhCIHxetMXujii1KT,0.359,0.456,8,-9.767,1,0.0557,0.0156,0,0.0825,0.394,154.837,222302,4
3E1lonKK0AD5ctmbvVL7AL,0.592,0.276,0,-20.034,1,0.0451,0.561,0.315,0.117,0.349,140.083,243429,4
1qiAm3yd2N9F1zi0iTFEGS,0.463,0.415,10,-9.691,1,0.109,0.788,0,0.112,0.109,73.225,160185,4
0c7iF5fSBYxCuwsAv2z4iI,0.693,0.367,3,-11.66,1,0.0323,0.351,2.9e-5,0.111,0.286,129.879,274632,4
4rKNAryOSqMpb0qoum5UoN,0.644,0.467,7,-9.398,1,0.0385,0.502,1.6e-5,0.231,0.69,79.022,268007,4
5IOmDUnTJwLQAuQnkPRCz5,0.59,0.416,11,-8.662,1,0.0374,0.77,0,0.109,0.526,124.893,200040,4
3kEJ2teFzjpSrDgpKVgPPr,0.546,0.476,2,-11.496,1,0.0469,0.372,0.0011,0.372,0.336,139.606,285161,3
7kdJcH97qbvW7ubH6ukOTf,0.57,0.296,4,-15.492,1,0.0349,0.895,0.0353,0.115,0.201,139.413,351866,4
6Nr0StlllyYFmJoIYFVAsr,0.613,0.63,9,-5.913,1,0.0263,0.269,0,0.0931,0.177,110.04,239312,4
2d5d5utCVzOqgK4eVOQQt5,0.522,0.536,10,-8.725,1,0.053900000000000003,0.623,0,0.0967,0.668,82.513,210752,4
0CICivRwFKqLs5oiBLYicx,0.675,0.65,6,-10.415,1,0.0273,0.193,0.0257,0.375,0.193,120.015,333448,4
1XShVicocgCeGOxDAtHSAN,0.622,0.702,9,-5.391,1,0.0524,0.446,0,0.101,0.611,78.513,239853,4
7aohwSiTDju51QmC54AUba,0.698,0.285,0,-7.632,1,0.0553,0.927,0,0.0883,0.53,135.027,148400,4
0Zf1BPkkFAWGtVHeBwHHz4,0.417,0.595,6,-7.84,1,0.0396,0.158,2.69e-4,0.101,0.117,147.928,247840,4
3tInTDUq8wdIMw5ftohmqJ,0.518,0.828,8,-5.725,1,0.04,0.03,1.33e-5,0.0456,0.69,84.835,221413,4
2E9KlM0BvKZKcZAQRu3OWV,0.886,0.259,5,-9.246,1,0.0423,0.731,5.49e-6,0.108,0.305,119.894,135387,4
4NxUuupOGPquDhy1yFIZK3,0.687,0.748,3,-4.54,1,0.0785,0.24,0,0.373,0.872,88.944,193695,4
7tjD0hvDyA9LecANtqIaEh,0.455,0.249,11,-9.603,1,0.0351,0.908,4.36e-6,0.107,0.326,80.527,220133,4
3wpZTp7HM8Dv25oExNgCC6,0.52,0.308,7,-11.996,1,0.0331,0.776,0.00285,0.115,0.187,125.93,205587,3
5KenUsmrGeU2qscgE9ZHgD,0.761,0.522,7,-8.059,1,0.0327,0.388,0,0.191,0.743,112.99,187853,4
4I8Nhe8qN9xgR8tosYQ5ut,0.82,0.788,4,-6.747,1,0.0486,0.127,0,0.117,0.933,133.019,148080,4
0eLrZL1SJRqgN7iQZGY8Js,0.676,0.502,5,-6.456,0,0.0318,0.722,0,0.302,0.903,143.916,177467,4
6lfxq3CG4xtTiEg7opyCyx,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-5,0.132,0.143,181.74,201933,3
5oV8bZaShr2d01FFMHBUPq,0.497,0.13,6,-15.571,1,0.0436,0.841,0,0.111,0.179,130.769,181136,3
0c99BUd87HQfzgUUQqRyds,0.397,0.249,5,-10.484,1,0.0394,0.926,0,0.115,0.329,79.614,198404,4
1wflx5YklLYToaIbXkrZSq,0.612,0.107,0,-15.867,1,0.0302,0.936,0,0.109,0.637,78.393,153105,4
7BRwh1bemr9rFMDeTbcy5S,0.585,0.103,7,-12.682,1,0.0309,0.801,0,0.126,0.179,133.057,234135,4
1YnLthg0HOs8YTzgN5hVh2,0.658,0.125,8,-15.901,1,0.0323,0.877,0,0.287,0.507,106.686,136542,4
65VhbQdqvozUntjnlFkFbZ,0.664,0.0755,10,-19.836,1,0.0389,0.91,0,0.164,0.575,80.004,123609,1
6Jikx0q9cqsFa5wzcjTelO,0.663,0.238,9,-9.776,1,0.0381,0.807,0,0.0925,0.552,125.693,149444,4
7hVXJt6Ge4YLURY5YF8P2q,0.513,0.272,5,-11.21,0,0.0318,0.823,0,0.112,0.133,75.997,212131,4
02acUMylPHMjJ9miDc9b38,0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63e-5,0.11,0.524,188.017,256600,4
3LtwmK1OfN0dGs9jf3qSjn,0.555,0.924,7,-4.93,1,0.0604,0.0159,0,0.075,0.865,87.606,280000,4
4faFAhOflLzhfJECveRwva,0.551,0.896,9,-3.152,0,0.109,0.033,0,0.0899,0.858,171.79,226640,4
6j6bTAiW0oEfLlAjmRNcbb,0.163,0.616,9,-9.996,1,0.044,0.0286,0,0.0826,0.33,81.993,224720,4
2ZSmbG7hYBy2ObB41JQ3WW,0.61,0.919,7,-4.707,1,0.0469,0.00145,3.23e-5,0.192,0.495,111.998,184893,4
4585IKfPMXI7CuX4TFa32k,0.424,0.791,9,-4.503,1,0.0436,0.00274,0,0.254,0.472,79.812,203360,4
2LBhwMS0iYId8BWfNIiOuG,0.551,0.289,5,-9.83,1,0.0268,0.92,1.1e-4,0.124,0.432,108.098,260840,4
2yARskwKoNDTbL61y3qqjy,0.473,0.859,4,-5.948,1,0.0396,0.194,2.6e-6,0.161,0.787,75.824,215120,4
7uPQU7uKvsZZ7T9XnpBpFg,0.573,0.905,10,-5.954,1,0.0343,0.0408,0,0.113,0.683,135.943,247800,4
20117nklRrpujknMRpueYQ,0.633,0.886,1,-3.892,1,0.0456,0.109,0,0.0438,0.753,81.811,247827,4
0rhDtHrdZoW9UaS8M9RgzZ,0.536,0.593,7,-6.985,1,0.04,0.312,3.01e-4,0.164,0.497,161.856,175093,4
2dMkrhsWFVP2rHZmTEKkeh,0.514,0.319,3,-8.978,1,0.0941,0.805,0,0.211,0.677,203.651,235107,4
0vy1K9FhCK8woHW7MKEcBG,0.621,0.61,5,-8.455,1,0.0454,0.336,0,0.157,0.424,139.001,189987,4
23MG7PAYUQp0esP2dzWHWj,0.445,0.71,4,-6.819,1,0.0275,0.103,6.14e-5,0.169,0.468,148.011,263253,4
38LC7jHjifqs5EnYUv4BgG,0.547,0.555,11,-7.316,0,0.163,0.333,3.13e-4,0.105,0.575,95.102,206373,4
0RUXHlYhA057fCOe2vqIqu,0.448,0.885,9,-3.755,1,0.0562,0.111,3.65e-6,0.0476,0.134,178.151,255893,4
7zb2TzZwpXuBJutFIqS6lA,0.74,0.622,1,-5.492,0,0.0306,0.71,1.22e-4,0.18,0.759,93.985,149560,4
7H3nOoaHiPJPKadrHcMiex,0.68,0.688,5,-6.051,1,0.034,0.243,1.62e-6,0.138,0.397,103.951,223027,4
11sV5RZfZ4FEKz0TeFnvN6,0.541,0.748,9,-6.28,1,0.0357,0.417,0,0.12,0.423,79.977,219587,4
4xcArbiK3LzdpravfBkkRc,0.65,0.755,8,-4.656,1,0.0259,0.00718,4.49e-6,0.311,0.287,108.006,204107,4
38YgZVHPWOWsKrsCXz6JyP,0.672,0.623,9,-5.699,1,0.0297,0.241,0,0.0848,0.617,92.018,215173,4
5BvP31Kxf5R5WIuwbcQDDT,0.646,0.658,7,-4.678,1,0.052,0.0617,0,0.0692,0.44,92.001,190867,4
4SXcG6Ti32myNw9GJ9qeDt,0.534,0.492,4,-8.905,1,0.0261,0.584,1.12e-6,0.185,0.328,82.465,216933,3
6plKFdrBnKF0y3CRuceTDh,0.742,0.853,9,-4.147,1,0.0393,0.00743,4.79e-6,0.332,0.95,107.03,208280,4
7BNxbhK3BwhHRoF2EvYNss,0.62,0.652,11,-5.701,1,0.0312,0.015,5.77e-6,0.0835,0.204,109.988,249147,4
4GiLKZ6Fd3d5UMJMGuzAA0,0.565,0.89,0,-5.481,1,0.0285,0.00537,6.61e-5,0.213,0.744,119.862,182827,4
79vzYy9U65EYo9dXvlwKlG,0.654,0.784,8,-4.684,1,0.0457,0.0486,0,0.213,0.49,106.96,229200,4
6ufzyWwbjLdQeWvsquWiil,0.521,0.591,1,-5.753,1,0.0328,0.0011,1.28e-5,0.132,0.179,103.449,234800,3
3U2RJI4Q1INkYHLw87IGah,0.578,0.459,5,-6.487,1,0.027,0.0269,0,0.132,0.381,172.163,231596,4
5DcmFMNwDtpBrgPN0kPe2t,0.709,0.633,0,-3.655,1,0.0329,0.191,0,0.132,0.735,99.483,173560,4
3VPFV5Xj8QjXDJKl2rVce7,0.672,0.788,1,-5.822,1,0.121,0.053,1.13e-5,0.112,0.321,87.964,216316,4
6qONjN95Wk5zsOs7pY2Kq3,0.447,0.247,6,-11.988,1,0.0407,0.787,2.29e-6,0.0983,0.198,139.63,298912,4
5V2tLRgrwtQjTrCxmYVLZ8,0.612,0.409,7,-6.797,1,0.0292,0.519,0,0.0554,0.698,78.969,176632,4
1XU8WnwGs6oqpt1qicvw34,0.325,0.362,5,-10.011,1,0.061,0.758,0,0.118,0.158,85.885,263372,4
3R5rnGVSqVAXfnwo6yogI1,0.381,0.157,0,-12.068,1,0.0361,0.881,1.9e-5,0.0874,0.143,81.115,184707,4
0Q7iUK8jHVcKu8dW1s0VFm,0.562,0.268,0,-8.721,1,0.0312,0.851,0,0.103,0.36,139.683,164213,3
5HhcXgRU7kYszL7OQZtNlc,0.456,0.285,8,-8.768,1,0.0501,0.769,0,0.125,0.282,129.262,173547,4
4jjvUXBBqQDFRGX4SR5OhS,0.69,0.657,7,-4.397,0,0.0372,0.0926,2.09e-4,0.12,0.501,140.005,200401,4
4DpN1x8nGXlXGFG2aYWHVL,0.664,0.708,7,-7.58,1,0.0377,0.232,0,0.195,0.548,108.043,152933,4
2BX2njwutbKutDcLVFiqUU,0.647,0.627,0,-7.08,1,0.0756,0.235,0,0.144,0.517,110.121,211107,4
6bfPo8Ge3VoD4dEGSDs0R9,0.492,0.611,0,-6.438,1,0.102,0.193,0,0.691,0.933,182.529,74960,4
3D1PuFi2U8lmtdWRZcCz1f,0.507,0.399,9,-10.917,0,0.0358,0.871,3.77e-4,0.113,0.225,115.588,157600,4
4s5DywrMqIlGxvKi4WrHwH,0.532,0.652,9,-6.112,0,0.119,0.262,0,0.461,0.797,80.803,119880,4
35ycG8vBnHjAfw1Q5WDl76,0.679,0.485,0,-7.837,1,0.0278,0.215,0,0.0901,0.64,97.356,248773,4
3oIQfBgaruqihkCHokRQZ0,0.486,0.614,0,-7.636,1,0.0374,0.118,0,0.127,0.592,91.147,195587,4
5TQ6MARpfdGi3lToty2TH6,0.448,0.889,6,-5.713,1,0.0386,4.14e-4,6.5e-5,0.697,0.779,104.8,153413,4
47hr9KDPHYmOCCd0aj3Q04,0.38,0.69,0,-7.66,1,0.104,0.446,0,0.226,0.642,83.443,148293,4
2Ok2MUomO0kORdxCZNjrmF,0.539,0.585,0,-7.054,1,0.109,0.231,0,0.168,0.746,60.686,179013,3
3t4OeuZLxYUKjWgCaZMFDP,0.481,0.839,0,-4.78,1,0.0357,0.0101,0,0.093,0.904,97.308,96827,4
39WOhYBxBtFS7SIbiLpM69,0.558,0.783,9,-7.8,1,0.137,0.0242,0,0.0652,0.593,129.91,116520,4
4KqBoq7MoDJeVsvUHTjXCM,0.946,0.289,11,-9.413,1,0.0584,0.152,2e-5,0.234,0.816,102.073,129627,4
37pK088xTo1ZpR3y23wsFk,0.54,0.0674,9,-13.778,1,0.0368,0.888,3.82e-4,0.109,0.12,141.988,251440,3
1pLbS57mLE8iG4njSQIAtX,0.652,0.24,10,-15.691,1,0.0295,0.678,0.00652,0.0784,0.257,83.02,225147,1
1umKFpJdXDtquGCz4oBVDJ,0.435,0.605,8,-6.649,1,0.0275,0.0682,0.00695,0.0653,0.541,62.962,237227,4
72SPsHheqN6J3sI520jT9E,0.681,0.168,7,-13.397,1,0.0291,0.793,1.34e-4,0.109,0.29,128.615,160453,4
69dDr3w8IIcOGKwlW5XntT,0.582,0.232,4,-11.693,1,0.0451,0.876,1.32e-6,0.107,0.238,131.599,188080,4
5jn4aPKkBTJ21lLeLGizv4,0.548,0.151,6,-17.034,1,0.0337,0.927,0.00975,0.103,0.223,134.858,250173,4
7eRDTkDUO5UVWgla9Max4h,0.459,0.341,8,-7.951,0,0.0285,0.705,5.53e-4,0.291,0.195,127.967,318840,4
5FjhLFw4Zs9wQWIiiQRpgo,0.597,0.374,6,-10.03,1,0.0292,0.508,8.19e-5,0.299,0.352,141.057,201267,4
1aauOIvm1eaLxf8cizgw30,0.555,0.215,2,-11.355,1,0.0334,0.442,1.25e-4,0.115,0.143,126.41,255053,4
4zzi2eD2cEPpQ3a307mPPj,0.532,0.203,9,-8.524,0,0.0668,0.829,0,0.108,0.543,89.646,259920,4
3wsZYuHJrk3lssa7V7jvye,0.285,0.186,1,-12.729,1,0.0288,0.76,7.3e-5,0.104,0.203,153.848,219467,4
5P6ZBMWS66FVo6deJaDdHy,0.747,0.265,1,-14.141,1,0.0354,0.745,0.0169,0.11,0.2,138.017,229653,4
4qoD4IJbbir3hsAu4IowiG,0.254,0.349,4,-10.02,0,0.0379,0.85,2.95e-5,0.234,0.303,170.214,149427,3
6tZAbv5JEsfqjTpkBOrLje,0.473,0.184,9,-11.182,0,0.029,0.855,0,0.145,0.285,110.081,185053,4
2ZheGCM31EbCwUfGs0WJB1,0.403,0.659,2,-7.338,1,0.0303,0.123,0,0.0857,0.435,90.854,205773,4
0iTqedrMdiwnUXKiUjtxAl,0.309,0.159,7,-13.101,1,0.0315,0.912,2.64e-4,0.1,0.139,87.493,211360,4
3W2G2Bwt9UAM0sgUVhOC6E,0.439,0.313,2,-10.122,0,0.0291,0.692,5.62e-6,0.0464,0.243,145.899,212787,4
5UcW2Su74svT2gYHBv57fO,0.39,0.406,10,-5.784,1,0.0375,0.826,0,0.0869,0.405,173.509,206133,4
1IZc5f9ulw7Ge2eOpQH7w6,0.497,0.277,4,-11.382,0,0.0373,0.846,4.77e-6,0.111,0.179,81.367,222560,4
3TwtrR1yNLY1PMPsrGQpOp,0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,221693,4
2lFlveK1y13WWp3vnQtrr3,0.643,0.569,7,-7.459,1,0.0276,0.544,2.17e-5,0.178,0.275,120.507,244600,4
0qJGlogD7AyMLAJfQ42aI2,0.6,0.845,10,-7.076,1,0.0311,0.048,0,0.24,0.392,97.631,210612,4
1MzlQlMCHU4zSyHjVGbMln,0.401,0.802,10,-5.646,1,0.0291,0.0236,0,0.224,0.326,163.987,215200,4
0p9sEGpxxooSZCjfKrWcZy,0.59,0.562,10,-5.8,1,0.029,0.327,0,0.135,0.271,119.429,227027,4
4Tflo6u2bdSDsmE5hLqubS,0.548,0.325,0,-8.06,1,0.0273,0.524,0,0.101,0.2,103.787,222427,4
